"id"	"location.id"	"x"	"y"	"period"	"col.date"	"date"	"col.time"	"time"	"depth.cat"	"depth"	"swp"	"swc"
732	164	484	430	"apr.2015"	42101	"4/7/2015"	0.479167	"11:30"	"shallow"	17	-0.31	36.46992534
733	164	484	430	"mar.2016"	42443	"3/14/2016"	0.397916667	"9:33"	"shallow"	14.5	-0.21	30.52709314
734	165	483	411	"feb.2015"	42061	"2/26/2015"	0.398611	"9:34"	"shallow"	15	-0.27	34.97263425
735	165	483	411	"mar.2015"	42086	"3/23/2015"	0.527778	"12:40"	"shallow"	16	-0.32	32.87979816
736	165	483	411	"apr.2015"	42100	"4/6/2015"	0.529167	"12:42"	"shallow"	17	-0.54	30.35687621
737	165	483	411	"mar.2016"	42445	"3/16/2016"	0.513888889	"12:20"	"shallow"	15	-0.52	30.91388081
738	166	462.5	422.5	"feb.2015"	42061	"2/26/2015"	0.402778	"9:40"	"shallow"	16	-0.17	36.07013403
739	166	462.5	422.5	"mar.2015"	42087	"3/24/2015"	0.479167	"11:30"	"shallow"	17	0	34.53332407
740	166	462.5	422.5	"apr.2015"	42101	"4/7/2015"	0.481944	"11:34"	"shallow"	14	-0.02	39.45470933
741	166	462.5	422.5	"mar.2016"	42443	"3/14/2016"	0.402777778	"9:40"	"shallow"	15	-0.07	31.07395153
742	167	451	399.5	"feb.2015"	42059	"2/24/2015"	0.472917	"11:21"	"shallow"	15	0	37.54876168
743	167	451	399.5	"mar.2015"	42087	"3/24/2015"	0.484028	"11:37"	"shallow"	17	0	34.32199283
744	167	451	399.5	"apr.2015"	42101	"4/7/2015"	0.484722	"11:38"	"shallow"	17	-0.43	32.08698373
745	167	451	399.5	"apr.2015"	42101	"4/7/2015"	0.486111	"11:40"	"middle"	38	-0.07	33.9524838
746	167	451	399.5	"mar.2016"	42444	"3/15/2016"	0.552083333	"13:15"	"shallow"	16	-0.81	39.49270019
747	167	451	399.5	"mar.2016"	42444	"3/15/2016"	0.554166667	"13:18"	"middle"	40	-0.41	32.28329957
748	168	437	418.5	"feb.2015"	42059	"2/24/2015"	0.478472	"11:29"	"shallow"	14	-0.1	40.33333333
749	168	437	418.5	"mar.2015"	42087	"3/24/2015"	0.488194	"11:43"	"shallow"	16	0	34.7483989
750	168	437	418.5	"apr.2015"	42101	"4/7/2015"	0.489583	"11:45"	"shallow"	16	-0.32	33.91940117
751	168	437	418.5	"mar.2016"	42443	"3/14/2016"	0.406944444	"9:46"	"shallow"	15	-0.18	32.52313814
752	169	426	400	"feb.2015"	42061	"2/26/2015"	0.392361	"9:25"	"shallow"	15	0	35.53693033
753	169	426	400	"mar.2015"	42087	"3/24/2015"	0.492361	"11:49"	"shallow"	17	-0.31	33.20582878
754	169	426	400	"apr.2015"	42101	"4/7/2015"	0.493056	"11:50"	"shallow"	15	-0.61	31.82384407
755	169	426	400	"mar.2016"	42443	"3/14/2016"	0.4125	"9:54"	"shallow"	15.5	-0.28	30.24729049
756	170	409.5	408	"feb.2015"	42058	"2/23/2015"	0.545833	"13:06"	"shallow"	17	0	NA
757	170	409.5	408	"mar.2015"	42086	"3/23/2015"	0.523611	"12:34"	"shallow"	16	0	57.47797684
758	170	409.5	408	"apr.2015"	42100	"4/6/2015"	0.525	"12:36"	"shallow"	15	-0.69	37.16025415
759	170	409.5	408	"mar.2016"	42444	"3/15/2016"	0.549305556	"13:11"	"shallow"	16	-2.45	32.20883534
760	171	393	388	"feb.2015"	42059	"2/24/2015"	0.48125	"11:33"	"shallow"	15	0	33.12457848
761	171	393	388	"mar.2015"	42087	"3/24/2015"	0.5	"12:00"	"shallow"	16	-0.68	29.46510274
762	171	393	388	"apr.2015"	42101	"4/7/2015"	0.497222	"11:56"	"shallow"	14	-0.84	27.99145299
763	171	393	388	"mar.2016"	42445	"3/16/2016"	0.481944444	"11:34"	"shallow"	15	-1.82	23.03966488
764	172	384	404	"feb.2015"	42061	"2/26/2015"	0.40625	"9:45"	"shallow"	15	-0.36	34.80744426
765	172	384	404	"mar.2015"	42087	"3/24/2015"	0.502778	"12:04"	"shallow"	16	-0.7	24.89766862
766	172	384	404	"apr.2015"	42101	"4/7/2015"	0.500694	"12:01"	"shallow"	15	-0.91	32.02161189
767	172	384	404	"mar.2016"	42445	"3/16/2016"	0.484722222	"11:38"	"shallow"	16	-0.71	30.43094313
768	173	370	394	"feb.2015"	42058	"2/23/2015"	0.541667	"13:00"	"shallow"	16	-0.21	36.17661816
769	173	370	394	"mar.2015"	42086	"3/23/2015"	0.521528	"12:31"	"shallow"	15	-0.85	31.32134801
770	173	370	394	"apr.2015"	42100	"4/6/2015"	0.521528	"12:31"	"shallow"	14	-0.6	32.79328288
771	173	370	394	"mar.2016"	42445	"3/16/2016"	0.4875	"11:42"	"shallow"	14.5	-0.55	31.88344595
772	174	355	406	"feb.2015"	42061	"2/26/2015"	0.408333	"9:48"	"shallow"	14	0	35.2856887
773	174	355	406	"mar.2015"	42087	"3/24/2015"	0.506944	"12:10"	"shallow"	18	-1.86	30.88872451
774	174	355	406	"apr.2015"	42100	"4/6/2015"	0.520139	"12:29"	"shallow"	15	-0.56	31.4948182
775	174	355	406	"mar.2016"	42443	"3/14/2016"	0.422222222	"10:08"	"shallow"	16	-0.37	31.53366693
776	175	341	391	"feb.2015"	42061	"2/26/2015"	0.409722	"9:50"	"shallow"	16	-0.42	38.56250566
777	175	341	391	"mar.2015"	42086	"3/23/2015"	0.517361	"12:25"	"shallow"	15	-0.43	34.47796469
778	175	341	391	"apr.2015"	42101	"4/7/2015"	0.503472	"12:05"	"shallow"	16	-0.13	33.98369638
779	175	341	391	"apr.2015"	42101	"4/7/2015"	0.506944	"12:10"	"middle"	35	-0.03	34.24077435
780	175	341	391	"mar.2016"	42444	"3/15/2016"	0.520833333	"12:30"	"shallow"	15	-1.3	33.81557796
781	175	341	391	"mar.2016"	42444	"3/15/2016"	0.520833333	"12:30"	"middle"	40	-0.63	32.94485318
782	175.5	343	395	"apr.2015"	42109	"4/15/2015"	0.504861	"12:07"	"shallow"	14	-0.58	NA
783	176	327	407.5	"feb.2015"	42061	"2/26/2015"	0.399306	"9:35"	"shallow"	15	-0.02	39.5744175
784	176	327	407.5	"mar.2015"	42087	"3/24/2015"	0.511111	"12:16"	"shallow"	18	-0.12	35.14755685
785	176	327	407.5	"apr.2015"	42101	"4/7/2015"	0.511806	"12:17"	"shallow"	17	-0.24	35.20066198
786	176	327	407.5	"mar.2016"	42443	"3/14/2016"	0.427083333	"10:15"	"shallow"	15.5	-0.35	32.33749462
787	177	316	392.5	"feb.2015"	42062	"2/27/2015"	0.474306	"11:23"	"shallow"	16	-0.22	38.86774115
788	177	316	392.5	"mar.2015"	42086	"3/23/2015"	0.514583	"12:21"	"shallow"	17	-0.27	37.43197413
789	177	316	392.5	"apr.2015"	42100	"4/6/2015"	0.516667	"12:24"	"shallow"	15	-0.28	34.36709377
790	177	316	392.5	"mar.2016"	42443	"3/14/2016"	0.431944444	"10:22"	"shallow"	16	-0.45	34.01495787
791	178	304	407	"feb.2015"	42062	"2/27/2015"	0.475694	"11:25"	"shallow"	15	-0.4	43.25002728
792	178	304	407	"mar.2015"	42087	"3/24/2015"	0.515972	"12:23"	"shallow"	16	-0.57	35.14834603
793	178	304	407	"apr.2015"	42101	"4/7/2015"	0.5125	"12:18"	"shallow"	14	-0.78	36.88914027
794	178	304	407	"mar.2016"	42443	"3/14/2016"	0.4375	"10:30"	"shallow"	15	-0.54	33.01225003
795	179	288	396	"feb.2015"	42061	"2/26/2015"	0.413889	"9:56"	"shallow"	16	-0.25	34.00546569
796	179	288	396	"mar.2015"	42090	"3/27/2015"	0.444444	"10:40"	"shallow"	16	-0.26	33.36237693
797	179	288	396	"apr.2015"	42101	"4/7/2015"	0.520833	"12:30"	"shallow"	17	-0.3	32.82396088
798	179	288	396	"apr.2015"	42101	"4/7/2015"	0.522917	"12:33"	"middle"	37	-0.31	34.42961849
799	179	288	396	"mar.2016"	42444	"3/15/2016"	0.524305556	"12:35"	"shallow"	16	-0.79	32.6795977
800	179	288	396	"mar.2016"	42444	"3/15/2016"	0.526388889	"12:38"	"middle"	40.5	-0.02	34.25148787
801	180	281.5	408	"feb.2015"	42062	"2/27/2015"	0.498611	"11:58"	"shallow"	16	-0.15	36.67729233
802	180	281.5	408	"mar.2015"	42086	"3/23/2015"	0.510417	"12:15"	"shallow"	16	-0.33	35.21390166
803	180	281.5	408	"apr.2015"	42100	"4/6/2015"	0.513889	"12:20"	"shallow"	16	-0.41	35.48984996
